buyer_id,buyer_name,buyer_type,location,latitude,longitude,crop,required_quantity_kg,quality_required,offered_price_per_kg,order_date,valid_until,payment_rating,reliability_score
B001,Balaji Agro Foods,Wholesaler,"Ranchi, Jharkhand",23.2766,85.2266,Wheat,3000,Grade A,41.57,2026-07-03,2026-07-11,2.7,64
B002,Star Processing Ltd,Wholesaler,"Chandigarh, Punjab",30.643,76.8244,Carrot,2000,Grade B,35.21,2026-07-18,2026-07-25,4.4,60
B003,Nataraj Agro Industries,Processor,"Jaipur, Rajasthan",26.809,75.9245,Banana,300,Grade A,32.1,2026-07-23,2026-08-21,4,52
B004,Himalaya Wholesale Mart,Distributor,"Delhi, NCR",28.846,77.0661,Carrot,1000,Organic Certified,42.83,2026-07-24,2026-09-05,3,54
B005,Sri Distributors,Retailer,"Mysuru, Karnataka",12.2326,76.5133,Cotton,300,Standard,27.51,2026-08-10,2026-09-09,2.9,72
B006,Sunrise Distributors,Processor,"Raipur, Chhattisgarh",21.3824,81.674,Ginger,500,Export Quality,47.81,2026-07-11,2026-08-16,3.4,90
B007,Nataraj Farm Fresh Pvt Ltd,Retailer,"Vijayawada, Andhra Pradesh",16.4535,80.7285,Onion,800,Grade A,51.23,2026-07-26,2026-08-19,2.7,86
B008,Nataraj Fresh Produce Co.,Retailer,"Patna, Bihar",25.5939,85.253,Cauliflower,500,Premium,21.28,2026-08-05,2026-09-15,3.2,87
B009,Royal Commodities,Distributor,"Kochi, Kerala",9.8898,76.4165,Rice,3000,Standard,19.09,2026-07-04,2026-07-18,2.9,60
B010,Kaveri Agro Industries,Distributor,"Pune, Maharashtra",18.4858,73.8855,Cauliflower,3000,Premium,58.7,2026-07-01,2026-07-15,4.2,84
B011,Deccan Mandi,Supermarket Chain,"Nagpur, Maharashtra",21.0293,79.0686,Cauliflower,200,Organic Certified,54.41,2026-07-17,2026-08-25,4.4,82
B012,Krishna Foods Pvt Ltd,Supermarket Chain,"Lucknow, Uttar Pradesh",26.9492,80.9485,Soybean,500,Premium,49.31,2026-08-04,2026-09-13,4.8,88
B013,Green Valley Wholesale Mart,Wholesaler,"Delhi, NCR",28.8328,77.2161,Chilli,800,Grade A,25.84,2026-08-06,2026-08-18,2.7,81
B014,Om Supermart,Distributor,"Mysuru, Karnataka",12.1835,76.6873,Carrot,500,Premium,38.75,2026-08-08,2026-09-11,4.9,84
